Scan ID,Center Coord,E1,x_1,y_1,sigma_1,E2,x_2,y_2,sigma_2,E3,x_3,y_3,sigma_3,E4,x_4,y_4,sigma_4,E5,x_5,y_5,sigma_5,E6,x_6,y_6,sigma_6,E7,x_7,y_7,sigma_7,E8,x_8,y_8,sigma_8,E9,x_9,y_9,sigma_9,E10,x_10,y_10,sigma_10,E11,x_11,y_11,sigma_11,E12,x_12,y_12,sigma_12
ID03,"(718, 402)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,811,412,502.02,5,735,483,430.01,6,643,454,362.89,7,595,359,308.89,8,655,268,263.34,9,857,315,180.2,10,831,507,105.26,11,628,526,22.19,12,528,520,0.0
ID04,"(398, 415)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,7,392,270,230.28,8,272,344,172.05,9,270,481,115.37,10,364,560,65.85,11,486,570,23.06,12,588,560,0.0
ID05,"(487, 331)",1,-1,-1,-1,2,364,358,461.55,3,414,427,421.18,4,504,424,373.57,5,557,358,315.02,6,527,279,241.5,7,447,248,178.2,8,369,269,141.65,9,330,341,110.29,10,363,440,72.61,11,474,500,28.33,12,562,500,0.0
ID06,"(390, 365)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,459,421,364.21,5,453,316,287.28,6,359,252,219.81,7,250,269,179.59,8,185,349,149.61,9,213,458,117.43,10,294,508,89.02,11,520,523,15.7,12,614,521,0.0
ID07,"(463, 385)",1,-1,-1,-1,2,380,387,504.86,3,434,445,442.04,4,515,426,364.49,5,534,346,297.46,6,478,280,244.37,7,397,258,208.78,8,324,318,171.97,9,308,402,139.98,10,344,464,112.66,11,508,516,37.28,12,650,510,0.0
ID14,"(551, 306)",1,-1,-1,-1,2,-1,-1,-1,3,500,366,424.18,4,604,410,356.82,5,682,347,311.2,6,666,240,263.97,7,576,180,215.04,8,474,229,158.82,9,409,316,109.79,10,436,418,69.58,11,534,490,29.1,12,649,528,0.0
ID15,"(492, 325)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,546,216,251.18,7,450,171,209.57,8,357,209,175.5,9,319,312,139.13,10,348,414,103.11,11,532,480,30.36,12,665,499,0.0
ID17,"(471, 351)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,6,542,240,261.01,7,448,179,220.79,8,335,202,186.02,9,266,302,151.85,10,270,426,117.95,11,355,510,84.52,12,640,501,0.0
ID18,"(498, 375)",1,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,570,432,364.98,5,612,322,301.68,6,534,236,251.13,7,414,228,206.87,8,325,306,168.35,9,311,426,131.35,10,379,500,100.2,11,610,520,18.93,12,721,522,0.0
ID37,"(431, 369)",1,362,317,545.41,2,359,408,479.97,3,446,440,406.48,4,520,382,336.72,5,519,292,287.22,6,449,236,246.12,7,344,258,200.32,8,290,327,165.0,9,319,434,118.28,10,436,506,56.32,11,572,498,10.87,12,670,516,0.0
ID38,"(491, 366)",1,-1,-1,-1,2,-1,-1,-1,3,439,272,545.1,4,409,394,465.2,5,512,460,381.46,6,620,412,323.68,7,644,297,279.78,8,558,208,237.03,9,437,203,195.72,10,318,397,113.89,11,490,546,34.37,12,616,551,0.0
ID55,"(387, 412)",1,-1,-1,-1,2,360,334,563.13,3,288,411,492.8,4,332,490,437.41,5,450,486,361.81,6,490,390,300.16,7,413,296,234.85,8,294,302,182.01,9,222,387,140.84,10,228,505,101.9,11,302,578,69.33,12,534,574,0.0
